Package	Architecture	Version	Filename	Size	SHA256
libubsan1	arm64	14.2.0-19	pool/main/g/gcc-14/libubsan1_14.2.0-19_arm64.deb	1038924	b5539003465ea1e60f66b9e3a1019da182e826c82d480944f3656b12351c74c8
libudev1	arm64	257.13-1~deb13u1	pool/main/s/systemd/libudev1_257.13-1~deb13u1_arm64.deb	144536	459b1c9c17cc3c586e90d13d2a991715d498c6eed6c046cabf321021167bc380
libuuid1	arm64	2.41-5	pool/main/u/util-linux/libuuid1_2.41-5_arm64.deb	37412	85b7d04605f9d423d5699b3c07f027e8380649fd164a51e0712cded0cc56eced
libxxhash0	arm64	0.8.3-2	pool/main/x/xxhash/libxxhash0_0.8.3-2_arm64.deb	22276	66665776740ced6c5ddcb48a89a92b056d0dcb13851e1ff573d2b99b766e5c6c
libyaml-0-2	arm64	0.2.5-2	pool/main/liby/libyaml/libyaml-0-2_0.2.5-2_arm64.deb	49164	c81500b4c93e29ac28cdded7ec5bf9950c75f8c76c386669ccb6fb854c4daf72
libzstd1	arm64	1.5.7+dfsg-1	pool/main/libz/libzstd/libzstd1_1.5.7+dfsg-1_arm64.deb	266052	924540bd59fdbfa77a0604360efdaca54411a43daf11c7e002a3c64791b67448
linux-libc-dev	all	6.12.94-1	pool/main/l/linux/linux-libc-dev_6.12.94-1_all.deb	2847668	6183985d8fa4b97d277e8b55b10ad247bd98bc23aa8b531c1f79f05bfbf50997
m4	arm64	1.4.19-8	pool/main/m/m4/m4_1.4.19-8_arm64.deb	284832	6f1cd89c9f42844682e2aa8529511f53ad44d4ecb0f1df459a7302be0e1d4f85
make	arm64	4.4.1-2	pool/main/m/make-dfsg/make_4.4.1-2_arm64.deb	452396	043219839669c431def9bb410c4a827f115ee5bf377469d55c4ed905f81f73be
mawk	arm64	1.3.4.20250131-1	pool/main/m/mawk/mawk_1.3.4.20250131-1_arm64.deb	133820	0ab946ff4b8a34d93f81727957612f290c86cd0db39e849dc0ae5e3f3a9563d6
media-types	all	13.0.0	pool/main/m/media-types/media-types_13.0.0_all.deb	29336	0788e4b0b72db1bcf74a19cb24c3511e7770ad0b341f0f30e361701c3072f53e
meson	all	1.7.0-1	pool/main/m/meson/meson_1.7.0-1_all.deb	639072	e92d04e60e784336883d537755d09b7dcb856809fa318a0931df3898e84ded95
ncurses-base	all	6.5+20250216-2	pool/main/n/ncurses/ncurses-base_6.5+20250216-2_all.deb	273216	190e775260a38973c415a36ae99f33ad1b37ea6ca99929d7c5d53843fc23e914
ncurses-bin	arm64	6.5+20250216-2	pool/main/n/ncurses/ncurses-bin_6.5+20250216-2_arm64.deb	432224	7ac6919efb0effc9004caae758811bfe85bb486a057262822468e90d73d38458
netbase	all	6.5	pool/main/n/netbase/netbase_6.5_all.deb	12436	76bafa92947ebd37b0a6f9ec6570412041f56edebc1c66d323731216d318471e
ninja-build	arm64	1.12.1-1+b1	pool/main/n/ninja-build/ninja-build_1.12.1-1+b1_arm64.deb	130056	4afc3194ca4d4f051893f169daa48ba9eac769d76f3f13839e5ad0a9688b5fe6
openssl	arm64	3.5.6-1~deb13u2	pool/main/o/openssl/openssl_3.5.6-1~deb13u2_arm64.deb	1466984	1ee735e2480519bd1fd5f6576a879243bc81b9773059e1fa1ec8b8943c84e77c
openssl-provider-legacy	arm64	3.5.6-1~deb13u2	pool/main/o/openssl/openssl-provider-legacy_3.5.6-1~deb13u2_arm64.deb	310184	b099729f6a38d7d57f7f442f0f836c862673b9bb0ee65d757da6e3cdebbfd2a4
patch	arm64	2.8-2	pool/main/p/patch/patch_2.8-2_arm64.deb	128220	182ad723623dcd02dfe5054f3515a26d8bf4a9cce717f03e3e514c02cb9e59e8
perl	arm64	5.40.1-6	pool/main/p/perl/perl_5.40.1-6_arm64.deb	267336	68e82fa4deba7c9dc6b58c73f79b514f77521435b379e5680b8b8adfcd1d2b33
perl-base	arm64	5.40.1-6	pool/main/p/perl/perl-base_5.40.1-6_arm64.deb	1526636	65eef1a545207309b9ce87139be81be9dd12f24b0bd12be935cb36e51bdb6f2d
perl-modules-5.40	all	5.40.1-6	pool/main/p/perl/perl-modules-5.40_5.40.1-6_all.deb	3019100	dfd42c1bf0c45858488ad666b90de17f81b55e6f9c0d8ca530c27b4a66c08b0b
pkg-config	arm64	1.8.1-4	pool/main/p/pkgconf/pkg-config_1.8.1-4_arm64.deb	13968	fef9662964fa4ff2ebbeefe076adffad79374f744274085c8ce931d5feb462a1
pkgconf	arm64	1.8.1-4	pool/main/p/pkgconf/pkgconf_1.8.1-4_arm64.deb	26148	aaf89947e9a5a6d980d14f43dfde8d0ad4e869b5cd33567321ca8baeb7ee7740
pkgconf-bin	arm64	1.8.1-4	pool/main/p/pkgconf/pkgconf-bin_1.8.1-4_arm64.deb	29636	bce0638102650b61224901da320c2f867a91cfc133532a5fb526d2ce05465fe6
python3	arm64	3.13.5-1	pool/main/p/python3-defaults/python3_3.13.5-1_arm64.deb	28244	8d5be256bf3bb4f07afce1aa86f0595c6939e1a6c2ea939bdcb7b36351cbe021
python3-autocommand	all	2.2.2-3	pool/main/p/python-autocommand/python3-autocommand_2.2.2-3_all.deb	13608	1e62ac22ff83466228c051c6c2402a40f521646e15b5aa54cf2391206a848bad
python3-inflect	all	7.3.1-2	pool/main/p/python-inflect/python3-inflect_7.3.1-2_all.deb	32396	6c10dca4d4aa0eb0b4e16e8b62b74a073a8d22be8809c3f61c56b06fdd1451f8
python3-jaraco.context	all	6.0.1-1+deb13u1	pool/main/j/jaraco.context/python3-jaraco.context_6.0.1-1+deb13u1_all.deb	8492	f909ec7b00dd96a1905322acba7cdd2df09747ceddeef6e426a97b33ab227f80
python3-jaraco.functools	all	4.1.0-1	pool/main/p/python-jaraco.functools/python3-jaraco.functools_4.1.0-1_all.deb	11984	f5ac3e5f79b6394191d76ea7cde9255d8bae98f639886cb981444128f6545796
python3-jaraco.text	all	4.0.0-1	pool/main/j/jaraco.text/python3-jaraco.text_4.0.0-1_all.deb	11432	d5e060c9ba9d5206b53670cf2473681b45030cc6a55d18a8c6d87419a924e502
python3-mako	all	1.3.9-1	pool/main/m/mako/python3-mako_1.3.9-1_all.deb	83584	03454643ca7c76ffda4a511228b86fee330e1dc9fc5bd9914afe7c5047b991ef
python3-markupsafe	arm64	2.1.5-1+b4	pool/main/m/markupsafe/python3-markupsafe_2.1.5-1+b4_arm64.deb	14084	2fd29191e4509b87d6b826097f2380381d58a685ab8fb8fc709445cfb42197c9
python3-minimal	arm64	3.13.5-1	pool/main/p/python3-defaults/python3-minimal_3.13.5-1_arm64.deb	27244	b1dff61d3e68c83c747b03399356ba707d491bcaf6e495b575d46be3143cdec8
python3-more-itertools	all	10.7.0-1	pool/main/m/more-itertools/python3-more-itertools_10.7.0-1_all.deb	67416	385d785fa84261838732ec97627b4e95ec7399fc449d8a2aaaef66fb5f961c25
python3-packaging	all	25.0-1	pool/main/p/python-packaging/python3-packaging_25.0-1_all.deb	56568	d70c8469f6e9c6105e1ebcd3ebdc963f11dadbeddd89d2d1a2a3cb1c97d2ecbc
python3-pkg-resources	all	78.1.1-0.1	pool/main/s/setuptools/python3-pkg-resources_78.1.1-0.1_all.deb	224360	cf8749251172abc945216cf878367f614cf91d3d9a1043ba3bacc5a74e8cc1a8
python3-setuptools	all	78.1.1-0.1	pool/main/s/setuptools/python3-setuptools_78.1.1-0.1_all.deb	738228	90c4bc8e311873e5b571b407ce6b1fd38195dff77f9de056301a0f950e6df5a5
python3-typeguard	all	4.4.2-1	pool/main/p/python-typeguard/python3-typeguard_4.4.2-1_all.deb	37300	81e512101d7ab94e73646b9a8e4fb9b948836e3172dc5719ad3acbcde65bca01
python3-typing-extensions	all	4.13.2-1	pool/main/p/python-typing-extensions/python3-typing-extensions_4.13.2-1_all.deb	90500	b67662f211c35c17c74a0725bc7c8ffc3b126c650e2a2525593adee06f2bbf69
python3-yaml	arm64	6.0.2-1+b2	pool/main/p/pyyaml/python3-yaml_6.0.2-1+b2_arm64.deb	121812	b83a9ccdc2d1d1f2e36c7c333d36b0151cc89f1d45568e28bcab1f00c72a3498
python3-zipp	all	3.21.0-1	pool/main/p/python-zipp/python3-zipp_3.21.0-1_all.deb	10584	6cd0f768a5e5c574c7ae4b9d56603f8399b31de732167007e42fc17decc5cc6a
python3.13	arm64	3.13.5-2+deb13u3	pool/main/p/python3.13/python3.13_3.13.5-2+deb13u3_arm64.deb	757384	47af7a6a254dfe18365f680b2a0dabec9188d054c81d6d3f8caaa55e53e0871a
python3.13-minimal	arm64	3.13.5-2+deb13u3	pool/main/p/python3.13/python3.13-minimal_3.13.5-2+deb13u3_arm64.deb	2002540	d64a87f3dc9b3b52567cda12096312767b19f8f3995d4051f79a2435d3d994de
readline-common	all	8.2-6	pool/main/r/readline/readline-common_8.2-6_all.deb	69360	f77e8aa0bf0de618f11cb0b21658a4ed60f177d63b3cf26d7fc3706b6d0eaaa9
rpcsvc-proto	arm64	1.4.3-1+b1	pool/main/r/rpcsvc-proto/rpcsvc-proto_1.4.3-1+b1_arm64.deb	60468	6ae3c216e6c7d8e042ad3f122b8aa89aff56b2b5174b1c5780a7841b3becd61c
sed	arm64	4.9-2+deb13u1	pool/main/s/sed/sed_4.9-2+deb13u1_arm64.deb	325712	c654fa045de8cc722855b8db59990b703cb7299c897c6e187bf949d42df82b62
spirv-tools	arm64	2025.1~rc1-1	pool/main/s/spirv-tools/spirv-tools_2025.1~rc1-1_arm64.deb	3931388	43a80e52a5b07920fd567cf97bddd0a68c50dab5296a7531385f5ec880c16345
sq	arm64	1.3.1-2+b2	pool/main/r/rust-sequoia-sq/sq_1.3.1-2+b2_arm64.deb	4979396	36056ef6072827568b4f7d56098a6adfc499346dadcd284ded7857ea4bbd9120
sqv	arm64	1.3.0-3+b2	pool/main/r/rust-sequoia-sqv/sqv_1.3.0-3+b2_arm64.deb	611508	feb611506f420594bf767b1a8748429802ff4f324536ab1154bcc61478b9a8b6
sysvinit-utils	arm64	3.14-4	pool/main/s/sysvinit/sysvinit-utils_3.14-4_arm64.deb	33960	1366e87a382a6b95a0a7c507b8f1be9b193f772f3428f9f7e0271a217915cfae
tar	arm64	1.35+dfsg-3.1	pool/main/t/tar/tar_1.35+dfsg-3.1_arm64.deb	802008	c460a8294202ca3802b7c703b0bd70dd8bda1f2fc8785839595cf9d5e060d71b
tzdata	all	2026b-0+deb13u1	pool/main/t/tzdata/tzdata_2026b-0+deb13u1_all.deb	264316	306013b77311e875620e89f43c447765a6c72b7b398e0baa8e5721bcbbdf66cf
util-linux	arm64	2.41-5	pool/main/u/util-linux/util-linux_2.41-5_arm64.deb	1191312	d336901e4c1aedf268837d41a4e1004faa9b7ad4f1e6763f01711b487a4c18ce
xz-utils	arm64	5.8.1-1+deb13u1	pool/main/x/xz-utils/xz-utils_5.8.1-1+deb13u1_arm64.deb	657732	07b6145c6c934d744c712c252b293ce506d427ea127c7f77b711c518aead54b3
zlib1g	arm64	1:1.3.dfsg+really1.3.1-1+b1	pool/main/z/zlib/zlib1g_1.3.dfsg+really1.3.1-1+b1_arm64.deb	85116	209aa5cf671e97b9eb0410844fa6df4cae2e75b0c72e7802ab6c8ece13e6ddef
